log Pressure(bar),log VMR CO,log VMR H_2O,log VMR CO_2,log VMR CH_4,log VMR SO_2,log VMR H_2S,log VMR NH_3
-5.000000000000002,-1.6971499993933152,-1.787013747969256,-3.3684957272769167,-6.498878078027543,-4.429555922665212,-10.687305541611687,-7.182485679514064
-4.9953022008307215,-1.6970886130768663,-1.7869427708556944,-3.368556261790772,-6.498089394083214,-4.428575421708167,-10.706566894545077,-7.182352290687221
-4.98750249662603,-1.6969952958351866,-1.7868564673309202,-3.3686896510447157,-6.495940727242402,-4.426715915789575,-10.761728711493346,-7.182280175325626
-4.974204216007158,-1.6968452514620018,-1.7867316971292673,-3.3689401085112065,-6.4901655138913945,-4.423939386071119,-10.831515287859078,-7.182288580745362
-4.950335958575494,-1.6965885755655932,-1.7865176814784625,-3.3693997813860337,-6.474979077210791,-4.420099846563393,-10.801162937156146,-7.181283852120607
-4.900117998357383,-1.696080336076548,-1.7860791874671709,-3.3703621034966247,-6.434138877663943,-4.416375030363038,-10.64863646817396,-7.1690990257519225
-4.824244930287826,-1.6953951260635116,-1.78545328663263,-3.3717994263234052,-6.373992114543693,-4.4204335396103005,-10.457055185876799,-7.120328006383586
-4.7147962539878145,-1.6945731590106312,-1.7846254285924277,-3.3738771627308495,-6.3002297851237845,-4.442428560147405,-10.215770976145455,-7.001163847457862
-4.582247276832186,-1.6937954368310073,-1.7837222881619734,-3.3765021281735033,-6.227279356880333,-4.488353194131737,-9.95031291545092,-6.815258218842662
-4.432109290335764,-1.6931355591645278,-1.7828177178654625,-3.3797094785217663,-6.16163987530694,-4.559822325090606,-9.663213812264168,-6.589758102901205
-4.275822684046935,-1.6926325425746382,-1.7820109639612427,-3.383348052289204,-6.109280371843383,-4.650943124200306,-9.37331805711698,-6.365807987518857
-4.1135375173153195,-1.692255877152105,-1.7813313927695837,-3.3873337479361063,-6.069808053817211,-4.758573346562452,-9.030640138687003,-6.170631144028803
-3.949785339263125,-1.6919856694818152,-1.7808102364859588,-3.39128668854028,-6.0424737558030515,-4.875819150156986,-7.017151404851158,-6.030140390433017
-3.78123955644898,-1.6917944151874755,-1.7804266793198942,-3.39467914344509,-6.024863684523387,-5.0015290633339395,-3.803210267770798,-5.943349412316269
-3.611461587680877,-1.691661434394886,-1.7801581726061146,-3.39708779772591,-6.013652910183818,-5.133043267333376,-3.3985085043910472,-5.89118726419405
-3.4350264852735792,-1.691565463512883,-1.7799644074101406,-3.3988381395367537,-6.005724362495953,-5.272490938302513,-3.240252739060415,-5.85702563975293
-3.2552761220920847,-1.6914978435597312,-1.7798279658477967,-3.4000765316681725,-6.0002204749734664,-5.416035957003983,-3.155518365526317,-5.834461004539755
