log_pressure_bar,equilibrium_CO2_log10_volume_mixing_ratio,equilibrium_CH4_log10_volume_mixing_ratio
-5.0000000000000018,-2.0643669566,-2.1756410084
-4.9953022008307215,-2.0645035956,-2.1822063813
-4.9875024966260302,-2.0653993630,-2.1968379808
-4.9742042160071582,-2.0702391293,-2.2334699721
-4.9503359585754936,-2.0893448576,-2.3416576090
-4.9001179983573833,-2.1205321924,-2.6197928662
-4.8242449302878256,-2.1480943571,-2.6978147682
-4.7147962539878145,-2.1780475732,-2.7316561105
-4.5822472768321862,-2.1969645760,-2.7384751123
-4.432109290335764,-2.2157325545,-2.7198900248
-4.2758226840469353,-2.2464359161,-2.6693481710
-4.1135375173153195,-2.2534997812,-2.6265278859
-3.949785339263125,-2.2817720849,-2.5802643963
-3.78123955644898,-2.3249586538,-2.5542238711
-3.6114615876808771,-2.3570720836,-2.5238215117
-3.4350264852735792,-2.3938458814,-2.5298228648
-3.2552761220920847,-2.4284450319,-2.5416348408
-3.0636475584908065,-2.4688510100,-2.6192165329
-2.8623693580689702,-2.5449361810,-2.7475183269
-2.641074986647614,-2.6595080588,-2.9853452835
-2.398095920943506,-2.7492322457,-3.3126689131
-2.1558102097582053,-2.9058818528,-3.6867118613
-1.9190370054584767,-2.9985732334,-4.0764905312
-1.7127561704194791,-3.1290038486,-4.4061915658
-1.5237413574857075,-3.2469187039,-4.7226232610
-1.3489369528580761,-3.3056129990,-5.0093680018
-1.1892648617513795,-3.3923969427,-5.0949267207
-1.0231912585517819,-3.4186509433,-5.0809160551
-0.85766662854812448,-3.4504916145,-5.0867535029
-0.69517126521309958,-3.5329099435,-5.1391843856
-0.5374395536429325,-3.5605999277,-5.2291609475
-0.38655142786571128,-3.6232024973,-5.4285684521
-0.24535078737190572,-3.6961359066,-5.6608347344
-0.11533251624801644,-3.7643955101,-5.9477387188
-0.0019996664771346918,-3.8279728267,-6.2177068958
0.085311222778113774,-3.8809890961,-6.4188971384
0.14626514164376658,-3.9055217543,-6.5619125392
0.19263413872225993,-3.9283449129,-6.6701321738
0.23146004049649194,-3.9485103244,-6.7458542882
0.26630125976119701,-3.9645800189,-6.8064219481
0.30101716004354256,-3.9839697077,-6.8647526385
0.33711109248204529,-3.9959750287,-6.9203478290
0.37346956275713061,-4.0092417473,-6.9720957443
0.40970527114643412,-4.0246151754,-7.0168507900
0.44602296172620565,-4.0355664004,-7.0601048725
0.47230197855841433,-4.0576905702,-7.0987837029
0.49506543226224281,-4.0766180822,-7.1232923644
0.52780978143786328,-4.0910594830,-7.1656390390
0.57277401618128543,-4.1108902799,-7.2237890974
0.63131384295949378,-4.1367083867,-7.2994958090
0.70399226518217073,-4.1687621076,-7.3934872785
