synthetic_planet_id,mass_mj,log10_mass_mj,true_log10_zatm_over_zstar,information_class,posterior_form,posterior_scale_dex,upper_limit_log10_zatm_over_zstar,posterior_q16,posterior_median,posterior_q84,uniform_prior_density
Synthetic planet 01,0.03366328738921903,-1.4728434752501347,1.402324527872505,moderate,gaussian,0.24504937257668047,nan,1.0890874620072544,1.3486214308944582,1.5981463622992502,0.2857142857142857
Synthetic planet 02,0.03724968437595613,-1.4288774027643147,1.5086987224664672,weak,mixture,0.5888513621160121,nan,0.8192497086803328,1.3185121978411325,1.8622571373277685,0.2857142857142857
Synthetic planet 03,0.052879476306065425,-1.2767128545532824,1.85940705720956,tight,gaussian,0.14996287528038602,nan,1.740902043820422,1.8920494128487193,2.0437548617553203,0.2857142857142857
Synthetic planet 04,0.0647387721397431,-1.1888355418502055,1.3869739255407114,weak,gaussian,0.4389250751304359,nan,0.8379054447669286,1.273554320444425,1.7089601022054968,0.2857142857142857
Synthetic planet 05,0.07776159633972972,-1.1092348325156842,1.119935313780719,weak,gaussian,0.4937906635088912,nan,0.5438306338360169,1.0384107986940776,1.5225963267976255,0.2857142857142857
Synthetic planet 06,0.07944192023135054,-1.0999502668313992,0.6036650226014558,moderate,gaussian,0.27089984960236024,nan,0.3190953296344607,0.5920977538208434,0.8707599116081483,0.2857142857142857
Synthetic planet 07,0.10274687980637401,-0.9882313578066324,1.5483995566868627,tight,mixture,0.1469819412188586,nan,1.4776505634415846,1.6003347072544287,1.7345816371313676,0.2857142857142857
Synthetic planet 08,0.12011515423528411,-0.9204021967138697,1.417876236150839,weak,gaussian,0.6439778198701276,nan,0.5318738646623137,1.1282228298293224,1.7435640407698012,0.2857142857142857
Synthetic planet 09,0.14901258547206725,-0.8267770499082221,1.1906911088736436,moderate,gaussian,0.23885910054563042,nan,0.8759996229852022,1.1301124707812216,1.3605261076104314,0.2857142857142857
Synthetic planet 10,0.190503655086894,-0.7200966873435287,1.3969109266976327,moderate,gaussian,0.26423733433783314,nan,0.9892337064947733,1.252350848616064,1.5303468528719382,0.2857142857142857
Synthetic planet 11,0.21033016137925548,-0.6770984449487779,0.8978818615668738,tight,gaussian,0.12276356885553233,nan,0.6994382968006696,0.8281054214735588,0.9504238290414969,0.2857142857142857
Synthetic planet 12,0.25521975558786086,-0.593085711570297,1.163917004410484,moderate,gaussian,0.3187776619734216,nan,0.7125592462173319,1.0328359520123045,1.349804797321901,0.2857142857142857
Synthetic planet 13,0.30718107153350555,-0.512605548998007,1.3451322391299492,moderate,gaussian,0.3371978889789472,nan,1.019796644011076,1.351838772338723,1.6740854228119912,0.2857142857142857
Synthetic planet 14,0.38157134579166047,-0.4184242462106312,1.0258642067756343,weak,gaussian,0.4574672152609709,nan,0.5344925566446601,0.9752530872309448,1.436081857010406,0.2857142857142857
Synthetic planet 15,0.517064191403731,-0.2864555376761033,0.8534149218784605,weak,mixture,0.49973215558356554,nan,0.3690731809808232,0.8083750987905403,1.308861204509368,0.2857142857142857
Synthetic planet 16,0.6626138401010333,-0.17873949719427257,0.9703776487845144,tight,mixture,0.10340244322520163,nan,0.8658734271326282,0.9578108955650179,1.0547804685917825,0.2857142857142857
Synthetic planet 17,0.7039514745659298,-0.1524572770149752,1.0702262148115491,moderate,gaussian,0.2430429462556209,nan,0.6893062865644802,0.9421162638567845,1.1894909980238852,0.2857142857142857
Synthetic planet 18,0.9786212137046209,-0.00938537421372497,0.6683456605772101,weak,skew_normal,0.5878963547870524,nan,0.4362969058510261,0.7366360437304513,1.1675272980598315,0.2857142857142857
Synthetic planet 19,1.0228838597370635,0.00982632585420503,0.9664085381447216,tight,skew_normal,0.13093278406018594,nan,0.8982462166203616,0.9648065503094405,1.058606510212541,0.2857142857142857
Synthetic planet 20,1.2339204859215314,0.09128717457718238,0.4573452135898721,tight,skew_normal,0.15182410257408205,nan,0.2898861092528102,0.39869296564913603,0.47080398570777593,0.2857142857142857
Synthetic planet 21,1.5342507717306866,0.18589635040687016,0.6470460581628332,moderate,mixture,0.20185067188164355,nan,0.44183880241575596,0.6265118809683705,0.8211733152743482,0.2857142857142857
Synthetic planet 22,2.088653356546775,0.3198663682565821,0.3991762372130544,weak,skew_normal,0.6683523730979997,nan,0.5139856217914878,0.8399802240209764,1.3204061268818428,0.2857142857142857
Synthetic planet 23,2.1740622787600845,0.33727198084247373,0.0031234935734439917,tight,mixture,0.09590816969796373,nan,-0.1453949776092549,-0.06284790512541591,0.029454278655797275,0.2857142857142857
Synthetic planet 24,3.006806220530367,0.4781054400505835,0.284096559008126,moderate,gaussian,0.20353891342182817,nan,0.1682097891622568,0.38211954955790983,0.5827279246349876,0.2857142857142857
Synthetic planet 25,3.386875194771642,0.5297991933317743,0.31834940951196755,moderate,skew_normal,0.3399797413385457,nan,0.2566248861061687,0.4977792407562754,0.6657135142517039,0.2857142857142857
Synthetic planet 26,4.520951628878743,0.65522986040226,0.21597554741767241,moderate,gaussian,0.24252761045660665,nan,0.06424039485183357,0.3025165592317811,0.5453405350603392,0.2857142857142857
