wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.704608272058391272e+00 2.704608272058317553e-03 1.526515691731268175e-03 3.962648421483861956e-04 4.596305062821808810e-04
2.710022903233683778e+00 2.710022903233744174e-03 1.852072323139241890e-03 4.744495037952204362e-04 5.560627335930526946e-04
2.715448374511428842e+00 2.715448374511542085e-03 1.230221005495500414e-03 3.667757897164840579e-04 4.375796199282880718e-04
2.720884707593533847e+00 2.720884707593462792e-03 1.410199220445413444e-03 3.388463645514075222e-04 3.609525690394789986e-04
2.726331924225352754e+00 2.726331924225444681e-03 2.071589225504083705e-03 3.331874839798472810e-04 3.518529054666042475e-04
2.731790046195773591e+00 2.731790046195614607e-03 1.362543983543029052e-03 2.558091825262888593e-04 2.661095604094151587e-04
2.737259095337306825e+00 2.737259095337174486e-03 1.484702668215546334e-03 2.573097538989656068e-04 2.747822710749597873e-04
2.742739093526170180e+00 2.742739093526180838e-03 1.555080224124630881e-03 2.209417100258251332e-04 2.346488945364173047e-04
2.748230062682378794e+00 2.748230062682432973e-03 1.527333627162464182e-03 1.986196872282478909e-04 2.015486944283538930e-04
2.753732024769830922e+00 2.753732024769917075e-03 1.611718970093680347e-03 1.909049275345163293e-04 1.932240854701236326e-04
2.759245001796397201e+00 2.759245001796362118e-03 1.591832724435213479e-03 1.622482098520001525e-04 1.641745241380332995e-04
2.764769015814007691e+00 2.764769015814128039e-03 1.610282905402922547e-03 1.425991315798908171e-04 1.465956060520692220e-04
2.770304088918740693e+00 2.770304088918873475e-03 1.509775225117166320e-03 1.259124525250377834e-04 1.283819250161171192e-04
2.775850243250910232e+00 2.775850243250888028e-03 1.602390521786173491e-03 1.247619859825426078e-04 1.291765137643239149e-04
2.781407500995156212e+00 2.781407500995092263e-03 1.500139366974108813e-03 1.063569096116915880e-04 1.106357919835524432e-04
2.786975884380532342e+00 2.786975884380593627e-03 1.594045211281720732e-03 1.109748905384049661e-04 1.109670600265528980e-04
2.792555415680593178e+00 2.792555415680464392e-03 1.387212009292556388e-03 9.913428206353010154e-05 1.022712525850020648e-04
2.798146117213486939e+00 2.798146117213295980e-03 1.521998080486174684e-03 9.596285589896318125e-05 9.754176074849502174e-05
2.803748011342042545e+00 2.803748011342088731e-03 1.513890078041663133e-03 9.091454171276492724e-05 9.393678794620436703e-05
2.809361120473858442e+00 2.809361120473807816e-03 1.473858423253509480e-03 8.721491098970585360e-05 8.913597396639292149e-05
2.814985467061393631e+00 2.814985467061603686e-03 1.371958123064377427e-03 8.643530989197268711e-05 8.901107923489186009e-05
2.820621073602056939e+00 2.820621073601925488e-03 1.296990154019961317e-03 8.209780681007313385e-05 8.427576985179947161e-05
2.826267962638297604e+00 2.826267962638295828e-03 1.512116754032799288e-03 7.955242479875964496e-05 7.934173927373802248e-05
2.831926156757693214e+00 2.831926156757758051e-03 1.613003118576108140e-03 7.996127699791939574e-05 8.046663803756014830e-05
2.837595678593044290e+00 2.837595678593096693e-03 1.499626593470140216e-03 7.547676615820471673e-05 7.735622100088786050e-05
2.843276550822460003e+00 2.843276550822393389e-03 1.636860936408544203e-03 7.340771059234607024e-05 7.868719654384906761e-05
2.848968796169451423e+00 2.848968796169470963e-03 1.530363292651329464e-03 7.225917742672317574e-05 7.602949050922202558e-05
2.854672437403023899e+00 2.854672437403005247e-03 1.542661943823660144e-03 7.099946197258402312e-05 7.017505507250726231e-05
2.860387497337764984e+00 2.860387497337857354e-03 1.393701176191846063e-03 7.585442918481130256e-05 7.399330151638275148e-05
2.866113998833936805e+00 2.866113998833963450e-03 1.438089646124009365e-03 6.901167723166513640e-05 6.810566306147428312e-05
2.871851964797568435e+00 2.871851964797444978e-03 1.374625368831084793e-03 6.686601704634814497e-05 6.884287179539163052e-05
2.877601418180546489e+00 2.877601418180608661e-03 1.484948303629042305e-03 6.700015025200635498e-05 6.606293854978936505e-05
2.883362381980707490e+00 2.883362381980836275e-03 1.494171929014536174e-03 7.141841385581239906e-05 7.400071581129563669e-05
2.889134879241930243e+00 2.889134879241916920e-03 1.319549522723313358e-03 6.898279327927839125e-05 7.240448489965777338e-05
2.894918933054226429e+00 2.894918933054269061e-03 1.498341342098574334e-03 7.052572879741065160e-05 7.205395263451217782e-05
2.900714566553834750e+00 2.900714566553830309e-03 1.475402619497359017e-03 7.143821074754708839e-05 7.380470291347586550e-05
2.906521802923311526e+00 2.906521802923167641e-03 1.510394205448259289e-03 7.173838377330548949e-05 7.368276794297760424e-05
2.912340665391626615e+00 2.912340665391477401e-03 1.552992974031416938e-03 6.643598962082240605e-05 6.851742571351895612e-05
