wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.776523847321470839e+00 1.381355147921126125e-02 1.509527643943749543e-03 5.301609105541287258e-05 5.185061405130490033e-05
2.804289085794685388e+00 1.395168699400350931e-02 1.392893493433189356e-03 3.944109263010941779e-05 3.760208049609317947e-05
2.832331976652632477e+00 1.409120386394335789e-02 1.484729238843660298e-03 3.805729530882229553e-05 3.627632216622727208e-05
2.860655296419158500e+00 1.423211590258288695e-02 1.408220808013477049e-03 2.994505605489093536e-05 2.939873342938578230e-05
2.889261849383350178e+00 1.437443706160879131e-02 1.403722737602118315e-03 3.023160104116459483e-05 2.972949523068969105e-05
2.918154467877183578e+00 1.451818143222483037e-02 1.423170079508505759e-03 3.184828734178389532e-05 3.002514563532031265e-05
2.947336012555955342e+00 1.466336324654693435e-02 1.433667525788814411e-03 2.961633838875508542e-05 2.769193326573904197e-05
2.976809372681515242e+00 1.480999687901252138e-02 1.467489782898512719e-03 3.272463529548026500e-05 2.879781214851792701e-05
3.006577466408330235e+00 1.495809684780269322e-02 1.450232872362459480e-03 2.755125898328775481e-05 2.697210605712545905e-05
3.036643241072413346e+00 1.510767781628064022e-02 1.433660022479709296e-03 2.634541337773765212e-05 2.657806728990318439e-05
3.067009673483137355e+00 1.525875459444336890e-02 1.423725564858512212e-03 2.580210981821795310e-05 2.541687953741289416e-05
3.097679770217968809e+00 1.541134214038786254e-02 1.458899010350788849e-03 2.737622695126554036e-05 2.595482525116034873e-05
3.128656567920148568e+00 1.556545556179167455e-02 1.423369362635606289e-03 3.263843598629075234e-05 2.991718677315024821e-05
3.159943133599349530e+00 1.572111011740973119e-02 1.368763397896825135e-03 2.353116292901658724e-05 2.381654185538420446e-05
3.191542564935343052e+00 1.587832121858379075e-02 1.388604753748383467e-03 2.576960708964482112e-05 2.492645660398582727e-05
3.223457990584696731e+00 1.603710443076966641e-02 1.392569450659799160e-03 3.069524829256508014e-05 2.783341146334034795e-05
3.255692570490543503e+00 1.619747547507732754e-02 1.421341074845358654e-03 2.346903730369890933e-05 2.359255951851659520e-05
3.288249496195449151e+00 1.635945022982809860e-02 1.404755523180540710e-03 2.395422912893855138e-05 2.327737051060741502e-05
3.321131991157403540e+00 1.652304473212629077e-02 1.413911745164269599e-03 2.335088951954517847e-05 2.305542943085405123e-05
3.354343311068977762e+00 1.668827517944770911e-02 1.425305002924605845e-03 2.514714119097937410e-05 2.405213090953683155e-05
3.387886744179667176e+00 1.685515793124214845e-02 1.417701679161500420e-03 2.313422621240429321e-05 2.357947325158203593e-05
3.421765611621464309e+00 1.702370951055454107e-02 1.392395965263929815e-03 2.338510033202921489e-05 2.299296606995811663e-05
3.455983267737678943e+00 1.719394660566009314e-02 1.370251887020493145e-03 2.310471759973266152e-05 2.324760327298451486e-05
3.490543100415055555e+00 1.736588607171674070e-02 1.401820774048283605e-03 2.367795556214989823e-05 2.308518810231216542e-05
3.525448531419206333e+00 1.753954493243381485e-02 1.417852063405062061e-03 3.471097071159363071e-05 2.726105562341761036e-05
3.560703016733397952e+00 1.771494038175824848e-02 1.415465480313308740e-03 2.431395490371541170e-05 2.360887618672130958e-05
3.596310046900732083e+00 1.789208978557588203e-02 1.420486019243591413e-03 2.434088767600692274e-05 2.363544502621227193e-05
3.632273147369740052e+00 1.807101068343164307e-02 1.392056348265483315e-03 2.476645711800231457e-05 2.451686540728152520e-05
3.668595878843437408e+00 1.825172079026593508e-02 1.428746940884019836e-03 2.437772600753442906e-05 2.376295901292184049e-05
3.705281837631871689e+00 1.843423799816856778e-02 1.393562230886032181e-03 2.842583568362347360e-05 2.663978822497610377e-05
3.842911180257797099e+00 1.911896109581001646e-02 1.421432999530095661e-03 3.227874395081062174e-05 2.832931659882031354e-05
3.881340292060375674e+00 1.931015070676811440e-02 1.386290058759970939e-03 2.488658909222895863e-05 2.470502658947134207e-05
3.920153694980979431e+00 1.950325221383564234e-02 1.397618960182162723e-03 2.577488252045182223e-05 2.556142065160521459e-05
3.959355231930788754e+00 1.969828473597412533e-02 1.465332209297218625e-03 3.112928438680201670e-05 3.029521840259391294e-05
