wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.884000000000000341e+00 1.400000000000001243e-02 1.366777391957586189e-03 2.909164301420047897e-05 2.750648334726374047e-05
2.911999999999999922e+00 1.400000000000001243e-02 1.440825467207776118e-03 2.864121022003861085e-05 2.827514044884442822e-05
2.940500000000000114e+00 1.449999999999995737e-02 1.392986920748901306e-03 2.667482107826054690e-05 2.570154488820095909e-05
2.969000000000000306e+00 1.400000000000001243e-02 1.450078860195919313e-03 2.728825076531425867e-05 2.621126068264793994e-05
2.996999999999999886e+00 1.400000000000001243e-02 1.467502418945111544e-03 2.568745830860790207e-05 2.548308352895367141e-05
3.025000000000000355e+00 1.400000000000001243e-02 1.422619156448489547e-03 2.532504135022566150e-05 2.540605419018539328e-05
3.052999999999999936e+00 1.400000000000001243e-02 1.410741333407751572e-03 2.490595121619112380e-05 2.422104131841540530e-05
3.081500000000000128e+00 1.449999999999995737e-02 1.437287255624116692e-03 2.548063871204560792e-05 2.439681598368936114e-05
3.110000000000000320e+00 1.400000000000001243e-02 1.465294938655915596e-03 2.633426781095939221e-05 2.576759897704178286e-05
3.137999999999999901e+00 1.400000000000001243e-02 1.380101720885435878e-03 2.561739217671194489e-05 2.530571689744189837e-05
3.166000000000000369e+00 1.400000000000001243e-02 1.390837144729461725e-03 2.475606535239462642e-05 2.431643466349951130e-05
3.194500000000000117e+00 1.449999999999995737e-02 1.402218405951274113e-03 2.481019390876652373e-05 2.458908421739772220e-05
3.222999999999999865e+00 1.400000000000001243e-02 1.397859000634155482e-03 2.750334268946410027e-05 2.692536109982622916e-05
3.251000000000000334e+00 1.400000000000001243e-02 1.425477548895895180e-03 2.531913063735205023e-05 2.425814281503089624e-05
3.278999999999999915e+00 1.400000000000001243e-02 1.399486777765656048e-03 2.488137051260444111e-05 2.410916233384945967e-05
3.307000000000000384e+00 1.400000000000001243e-02 1.410894155000098037e-03 2.544151624118531069e-05 2.445716042124033429e-05
