wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.884000000000000341e+00 1.400000000000001243e-02 1.367812761120221253e-03 3.493804927289130557e-05 3.723702196838291935e-05
2.911999999999999922e+00 1.400000000000001243e-02 1.510555394726920868e-03 3.806576322360204385e-05 3.823532678709279028e-05
2.940500000000000114e+00 1.449999999999995737e-02 1.407098483385459554e-03 3.296786409326814098e-05 3.341826487085930615e-05
2.969000000000000306e+00 1.400000000000001243e-02 1.462428512951666811e-03 3.417860555325418458e-05 3.616555792813262553e-05
2.996999999999999886e+00 1.400000000000001243e-02 1.493876910197592094e-03 3.215359819814904430e-05 3.162566709989981205e-05
3.025000000000000355e+00 1.400000000000001243e-02 1.482602670453414106e-03 3.345139913620660474e-05 3.215796843036638694e-05
3.052999999999999936e+00 1.400000000000001243e-02 1.434822977823169317e-03 2.997992055451701929e-05 3.136666412225253692e-05
3.081500000000000128e+00 1.449999999999995737e-02 1.464222140218767636e-03 3.049161965709267647e-05 3.123361060732000004e-05
3.110000000000000320e+00 1.400000000000001243e-02 1.466418406875445593e-03 3.214476644094609210e-05 3.364610102442799552e-05
3.137999999999999901e+00 1.400000000000001243e-02 1.425370287792314958e-03 3.044189082563653927e-05 2.929541209790737649e-05
3.166000000000000369e+00 1.400000000000001243e-02 1.408939796019195332e-03 3.148403556232242696e-05 3.113649592649601720e-05
3.194500000000000117e+00 1.449999999999995737e-02 1.429571413979635434e-03 3.000019958618901743e-05 2.998611865647122544e-05
3.222999999999999865e+00 1.400000000000001243e-02 1.377023038306964811e-03 3.232429513483629953e-05 3.196044252156706421e-05
3.251000000000000334e+00 1.400000000000001243e-02 1.439214903533702142e-03 2.960425164520935973e-05 3.056060166687518155e-05
3.278999999999999915e+00 1.400000000000001243e-02 1.374811812804749159e-03 3.075779930843212245e-05 3.205033256886507219e-05
3.307000000000000384e+00 1.400000000000001243e-02 1.447836388595774570e-03 3.021348853470451519e-05 3.084218475123525274e-05
3.335500000000000131e+00 1.449999999999995737e-02 1.403603431593477766e-03 3.135293143234066035e-05 3.186671498312475780e-05
3.363999999999999879e+00 1.400000000000001243e-02 1.398732683277948080e-03 3.228202295778108931e-05 3.117393369332058413e-05
3.392000000000000348e+00 1.400000000000001243e-02 1.412446300893560646e-03 3.033820241329053535e-05 3.034115323248868200e-05
3.419999999999999929e+00 1.400000000000001243e-02 1.405158287541216850e-03 3.136000205263955037e-05 3.166124569263452544e-05
3.448000000000000398e+00 1.400000000000001243e-02 1.366711164174189272e-03 3.073472915530767353e-05 3.120437907566902917e-05
3.476500000000000146e+00 1.449999999999995737e-02 1.389107330866273500e-03 3.162008284945299133e-05 3.010727923276356778e-05
3.504999999999999893e+00 1.400000000000001243e-02 1.382566392054525783e-03 3.421306598493122943e-05 3.350349724548940672e-05
3.533000000000000362e+00 1.400000000000001243e-02 1.413384020409319585e-03 3.405658409459970046e-05 3.259421093540254728e-05
3.560999999999999943e+00 1.400000000000001243e-02 1.452012624672304473e-03 3.213952504547480139e-05 3.347843804181005294e-05
3.589500000000000135e+00 1.449999999999995737e-02 1.415746137005228621e-03 3.164201149227405772e-05 3.157926160826858043e-05
3.618000000000000327e+00 1.400000000000001243e-02 1.362339599883938919e-03 3.441550432178386645e-05 3.459107344727522029e-05
3.645999999999999908e+00 1.400000000000001243e-02 1.461480592596661439e-03 3.419802581535900596e-05 3.265586784059488351e-05
3.674000000000000377e+00 1.400000000000001243e-02 1.414093088424467999e-03 3.538488291304742704e-05 3.420592797827412719e-05
3.701999999999999957e+00 1.400000000000001243e-02 1.402169976701390323e-03 3.453764132088990579e-05 3.407470543673532526e-05
3.841499999999999915e+00 2.150000000000007461e-02 1.379043885986945203e-03 2.885871771065901155e-05 3.036904365234988946e-05
3.883999999999999897e+00 2.099999999999990763e-02 1.415314511995047903e-03 2.982513321603177253e-05 2.948530481063950381e-05
3.926499999999999879e+00 2.150000000000007461e-02 1.421947797097998295e-03 2.927787895205314662e-05 3.158607428588268082e-05
3.969500000000000028e+00 2.150000000000007461e-02 1.444316067557606820e-03 3.126095726582625405e-05 3.348001533931685078e-05
4.012000000000000455e+00 2.100000000000012967e-02 1.465707015251367781e-03 3.233774060603603756e-05 3.136917293093243603e-05
4.054499999999999993e+00 2.149999999999963052e-02 1.451943063590814932e-03 3.391482587138702591e-05 3.357298765736729113e-05
4.097500000000000142e+00 2.150000000000007461e-02 1.444877080476165889e-03 3.375348908620022341e-05 3.323763498784115117e-05
4.139999999999999680e+00 2.099999999999990763e-02 1.426792123970705957e-03 3.378584016737332454e-05 3.340135075309124540e-05
4.182499999999999218e+00 2.150000000000007461e-02 1.415386806626603867e-03 3.551817089835580463e-05 3.672044844260083027e-05
4.225500000000000256e+00 2.150000000000007461e-02 1.418779866453350478e-03 3.601971965569526063e-05 3.413727142992828596e-05
4.267999999999999794e+00 2.099999999999990763e-02 1.463210564633168941e-03 3.804377505777769772e-05 3.673789372911481430e-05
4.310499999999999332e+00 2.150000000000007461e-02 1.410943999804893829e-03 4.158186965516944521e-05 4.247815739095994747e-05
4.353500000000000369e+00 2.150000000000007461e-02 1.455601888784286563e-03 4.089378085699577926e-05 4.114123356559109407e-05
4.395999999999999908e+00 2.099999999999990763e-02 1.443948515118027029e-03 4.235809779705944876e-05 3.974986390346715685e-05
4.438499999999999446e+00 2.150000000000007461e-02 1.496432097537610381e-03 4.384062919057102325e-05 4.306413327038278657e-05
4.481500000000000483e+00 2.150000000000007461e-02 1.463559844026446951e-03 4.533706484226166303e-05 4.553218250824228076e-05
4.524000000000000021e+00 2.099999999999990763e-02 1.375864139505560179e-03 4.395597754999259511e-05 4.500228573617033427e-05
4.566499999999999559e+00 2.150000000000007461e-02 1.392943035723850096e-03 4.850132417550051880e-05 4.879858031226987948e-05
4.609500000000000597e+00 2.150000000000007461e-02 1.533246794606828080e-03 4.921079378868782779e-05 4.728246624608844866e-05
4.652000000000000135e+00 2.099999999999990763e-02 1.415402025964710049e-03 4.896223319597776957e-05 4.984003856523780591e-05
4.694499999999999673e+00 2.150000000000007461e-02 1.359059045011694377e-03 5.042982796200933850e-05 4.992565082022467834e-05
4.737500000000000711e+00 2.150000000000007461e-02 1.412517059575789683e-03 4.957431009216953580e-05 4.963178978771749794e-05
4.780000000000000249e+00 2.099999999999990763e-02 1.292459824973737252e-03 5.234696230429331486e-05 5.411797996427076575e-05
4.822499999999999787e+00 2.150000000000007461e-02 1.467643491711029344e-03 5.284643225103363359e-05 5.273253915285191704e-05
4.865499999999999936e+00 2.149999999999963052e-02 1.466600759684280738e-03 5.375662962934396084e-05 5.377524453688948235e-05
4.907999999999999474e+00 2.100000000000035172e-02 1.428582053442407473e-03 5.891992395035323439e-05 5.954944080699105594e-05
4.950499999999999901e+00 2.150000000000007461e-02 1.337794680010371369e-03 5.807763528937765624e-05 5.917049060237913362e-05
4.993500000000000050e+00 2.149999999999963052e-02 1.442454902720416562e-03 6.404951926108947216e-05 6.148434212177741019e-05
5.035999999999999588e+00 2.100000000000035172e-02 1.467720349893719949e-03 6.691438163001421462e-05 6.792255869891633199e-05
5.078500000000000014e+00 2.149999999999963052e-02 1.388715005074705631e-03 6.203925262801015215e-05 6.457468764952539741e-05
