wvl(micron) wvl_fullwidth(micron) depths depths_err_up depths_err_down
2.884000000000000341e+00 1.400000000000001243e-02 1.365742022794950907e-03 4.249422569641914463e-05 4.470681120353906315e-05
2.911999999999999922e+00 1.400000000000001243e-02 1.371095539688631584e-03 4.182023361737926929e-05 4.265366897416916422e-05
2.940500000000000114e+00 1.449999999999995737e-02 1.378875358112343274e-03 3.943852907612854092e-05 4.158610214061836917e-05
2.969000000000000306e+00 1.400000000000001243e-02 1.437729207440172031e-03 3.974850523893905078e-05 4.087354815855335187e-05
2.996999999999999886e+00 1.400000000000001243e-02 1.441127927692631211e-03 3.954360008252290858e-05 4.048702555031909699e-05
3.025000000000000355e+00 1.400000000000001243e-02 1.362635642443564988e-03 3.824753918736135960e-05 3.913177665266576524e-05
3.052999999999999936e+00 1.400000000000001243e-02 1.386659688992334044e-03 3.805048927068340608e-05 3.869571043119590832e-05
3.081000000000000405e+00 1.400000000000001243e-02 1.410352371029465748e-03 3.809303940689430859e-05 4.026801913585391357e-05
3.109500000000000153e+00 1.449999999999995737e-02 1.464171470436385599e-03 4.028139295783605967e-05 4.052054454731961533e-05
3.137999999999999901e+00 1.400000000000001243e-02 1.334833153978557015e-03 4.043276534858742527e-05 4.203310549740087686e-05
3.166000000000000369e+00 1.400000000000001243e-02 1.372734493439728334e-03 3.706631197849846911e-05 3.849635967656463327e-05
3.193999999999999950e+00 1.400000000000001243e-02 1.374865397922912791e-03 3.896768244827930605e-05 3.953499178047732883e-05
3.222000000000000419e+00 1.400000000000001243e-02 1.418694962961345937e-03 4.307017791303096622e-05 4.476902444996988528e-05
3.250500000000000167e+00 1.449999999999995737e-02 1.411740194258088218e-03 3.843719885559897763e-05 4.037676473770258727e-05
3.278999999999999915e+00 1.400000000000001243e-02 1.424161742726562938e-03 3.713441281967219156e-05 3.806713249730211100e-05
3.307000000000000384e+00 1.400000000000001243e-02 1.373951921404421720e-03 3.846759537642582306e-05 4.047026852360452627e-05
3.334999999999999964e+00 1.400000000000001243e-02 1.436557396930178161e-03 3.740548786619396146e-05 3.777868672083994558e-05
3.362999999999999989e+00 1.399999999999979039e-02 1.436013837501357417e-03 3.642959046990662531e-05 3.666169217167144015e-05
3.391000000000000014e+00 1.400000000000001243e-02 1.434661843781660047e-03 3.658103710866959270e-05 3.658902646511770669e-05
3.419500000000000206e+00 1.450000000000017941e-02 1.396300071482940502e-03 3.689648547178063509e-05 3.679782381527238119e-05
3.448000000000000398e+00 1.400000000000001243e-02 1.353995169115457947e-03 3.764674873160808385e-05 3.861631002710684893e-05
3.475999999999999979e+00 1.400000000000001243e-02 1.412390911933004284e-03 3.864277383503226734e-05 4.026791783978277313e-05
3.504000000000000004e+00 1.399999999999979039e-02 1.381583375694168296e-03 3.820248297563082727e-05 3.852189894562856737e-05
3.532000000000000028e+00 1.400000000000001243e-02 1.429597012200734246e-03 3.710707188665112767e-05 3.817008000837483934e-05
