Wavelengthbincentre wavelengthbinfullwidth Transitdepth Transitdepth+veerror Transitdepth-veerror
0.606858 0.012137 0.001581 0.000117 0.000115
0.619117 0.012382 0.001294 0.000101 0.000103
0.631625 0.012632 0.001449 0.000098 0.000099
0.644385 0.012888 0.001554 0.000086 0.000087
0.657403 0.013148 0.001586 0.000075 0.000077
0.670684 0.013414 0.001431 0.000075 0.000075
0.684233 0.013685 0.001571 0.000078 0.000079
0.698056 0.013961 0.001576 0.000062 0.000063
0.712158 0.014243 0.001539 0.000062 0.000064
0.726545 0.014531 0.001625 0.000058 0.000059
0.741223 0.014824 0.001498 0.000054 0.000054
0.756197 0.015124 0.001563 0.000053 0.000054
0.771473 0.015429 0.001511 0.000055 0.000055
0.787059 0.015741 0.001415 0.000055 0.000055
0.802959 0.016059 0.001547 0.000061 0.000062
0.819180 0.016384 0.001457 0.000058 0.000059
0.835729 0.016715 0.001478 0.000064 0.000065
0.852613 0.017052 0.001441 0.000067 0.000068
0.869837 0.017397 0.001484 0.000070 0.000071
0.887410 0.017748 0.001615 0.000078 0.000078
0.898120 0.003672 0.001493 0.000104 0.000106
