wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.712738389597497246e+00 5.425476779195026467e-03 1.758493585574238700e-03 4.223452680617100050e-04 4.631627259731059391e-04
2.723611088553799853e+00 5.447222177107580166e-03 1.873429926162918082e-03 2.792945322203292495e-04 2.857215428755385876e-04
2.734527365461831394e+00 5.469054730923739172e-03 1.436319155643763423e-03 2.030398579844417317e-04 2.094659278970103546e-04
2.745487394982720097e+00 5.490974789965408220e-03 1.548769542257290256e-03 1.529519578327153708e-04 1.554756384622402415e-04
2.756491352477640877e+00 5.512982704955149416e-03 1.596530879865856040e-03 1.269947751616405890e-04 1.290041741684736160e-04
2.767539414010617094e+00 5.535078828021289254e-03 1.564751848516832827e-03 9.612572164397731431e-05 9.793987772483904355e-05
2.778631756351341409e+00 5.557263512702803609e-03 1.542232824739809367e-03 8.219124048355716690e-05 8.677552407457503228e-05
2.789768556978000191e+00 5.579537113955979066e-03 1.481624226764198310e-03 7.673568600496548289e-05 7.906920583135519968e-05
2.800949994080116134e+00 5.601899988160186084e-03 1.519066406599170688e-03 6.779090038331674571e-05 6.937866261668596565e-05
2.812176246561399751e+00 5.624352493122986019e-03 1.415625750763249745e-03 6.405681491799775854e-05 7.343728331015727086e-05
2.823447494042607531e+00 5.646894988085016109e-03 1.410620442701098669e-03 5.764675089602656107e-05 6.018587593849875056e-05
2.834763916864421418e+00 5.669527833728871258e-03 1.547297136142634271e-03 5.769506075752135803e-05 5.777525066487860562e-05
2.846125696090330948e+00 5.692251392180658343e-03 1.575055268608117637e-03 5.630721168146061707e-05 5.685793056546369686e-05
2.857533013509530484e+00 5.715066027018878003e-03 1.457107259525502671e-03 5.013528435858381944e-05 5.229194179631524225e-05
2.868986051639828894e+00 5.737972103279753711e-03 1.396134104445134663e-03 5.183754096374100485e-05 5.032152345473221152e-05
2.880484993730569876e+00 5.760969987461006525e-03 1.485373617884711830e-03 5.031553586547103717e-05 5.101848577850432787e-05
