wvl(micron) wvl_halfwidth(micron) depths depths_err
2.776523847321470839e+00 1.381355147921126125e-02 1.538587011488993898e-03 5.454004015302763432e-05
2.804289085794685388e+00 1.395168699400350931e-02 1.408927791275528963e-03 4.009605713662272089e-05
2.832331976652632477e+00 1.409120386394335789e-02 1.510518622203014995e-03 3.928753227218436826e-05
2.860655296419158500e+00 1.423211590258288695e-02 1.430750269257818679e-03 3.068254309862655874e-05
2.889261849383350178e+00 1.437443706160879131e-02 1.430929089409342398e-03 3.206643066734837588e-05
2.918154467877183578e+00 1.451818143222483037e-02 1.448735781621129405e-03 3.327302771040463409e-05
2.947336012555955342e+00 1.466336324654693435e-02 1.456713694772545156e-03 3.274606047974254643e-05
2.976809372681515242e+00 1.480999687901252138e-02 1.486754374709949120e-03 3.543055327425165409e-05
3.006577466408330235e+00 1.495809684780269322e-02 1.475774222231095081e-03 2.868995756891465327e-05
3.036643241072413346e+00 1.510767781628064022e-02 1.448265381458429093e-03 2.732849456739888522e-05
3.067009673483137355e+00 1.525875459444336890e-02 1.446500946095506061e-03 2.709990089459658944e-05
3.097679770217968809e+00 1.541134214038786254e-02 1.483597436149808020e-03 2.929738181158807745e-05
3.128656567920148568e+00 1.556545556179167455e-02 1.440683944385440620e-03 3.493870221757192220e-05
3.159943133599349530e+00 1.572111011740973119e-02 1.385736800303626580e-03 2.433351880909560459e-05
3.191542564935343052e+00 1.587832121858379075e-02 1.412466743046751324e-03 2.645739265358480475e-05
3.223457990584696731e+00 1.603710443076966641e-02 1.416378749741994654e-03 3.192860828458236178e-05
3.255692570490543503e+00 1.619747547507732754e-02 1.440565646889690457e-03 2.476184350973605045e-05
3.288249496195449151e+00 1.635945022982809860e-02 1.422200311692751670e-03 2.429480029382690998e-05
3.321131991157403540e+00 1.652304473212629077e-02 1.434860290881651273e-03 2.462879311672636591e-05
3.354343311068977762e+00 1.668827517944770911e-02 1.443238579919148192e-03 2.578972433794441828e-05
3.387886744179667176e+00 1.685515793124214845e-02 1.436370733140933560e-03 2.408867036298932869e-05
3.421765611621464309e+00 1.702370951055454107e-02 1.408210231255549016e-03 2.446898996558835647e-05
3.455983267737678943e+00 1.719394660566009314e-02 1.387582128619079197e-03 2.404581050647393189e-05
3.490543100415055555e+00 1.736588607171674070e-02 1.416963465550677469e-03 2.436398699874109926e-05
3.525448531419206333e+00 1.753954493243381485e-02 1.435038231313707363e-03 3.791540354921982329e-05
3.560703016733397952e+00 1.771494038175824848e-02 1.432572189508862608e-03 2.594177950682960307e-05
3.596310046900732083e+00 1.789208978557588203e-02 1.433279178669537041e-03 2.504957823578140376e-05
3.632273147369740052e+00 1.807101068343164307e-02 1.408756192852719628e-03 2.549347164701076167e-05
3.668595878843437408e+00 1.825172079026593508e-02 1.445965642471364315e-03 2.558533015231706536e-05
3.705281837631871689e+00 1.843423799816856778e-02 1.410558931752571923e-03 2.917233482823597990e-05
