wvl(micron) wvl_halfwidth(micron) depths depths_err
2.914865771729742150e+00 1.457432885864839989e-02 1.425939144859088032e-03 3.912003609293373429e-05
2.944160905113960780e+00 1.472080452556969940e-02 1.514179133804739903e-03 4.525048139309341969e-05
2.973750461949276946e+00 1.486875230974680009e-02 1.500586484827474325e-03 4.408331821532495142e-05
3.003637401265350171e+00 1.501818700632640002e-02 1.548716509088379854e-03 3.940189681012753407e-05
3.033824711830830800e+00 1.516912355915420001e-02 1.482483396979587592e-03 4.141326595633226576e-05
3.064315412452246257e+00 1.532157706226120082e-02 1.506009685842261666e-03 4.585346876805504956e-05
3.095112552275886664e+00 1.547556276137910039e-02 1.555049751576446232e-03 4.366239735452766182e-05
3.126219211092729822e+00 1.563109605546349895e-02 1.475773416953251975e-03 4.586273938657521587e-05
3.157638499646425068e+00 1.578819249823210091e-02 1.424978400627718205e-03 3.961777683889927584e-05
3.189373559944379100e+00 1.594686779972179919e-02 1.467883828565063470e-03 4.182596233864406207e-05
3.221427565571960638e+00 1.610713782785960085e-02 1.474771164412865855e-03 4.469695141062527771e-05
3.253803722009869670e+00 1.626901861004929895e-02 1.522306579670083164e-03 4.062148482911818705e-05
3.286505266954692583e+00 1.643252633477349997e-02 1.512049457961510846e-03 4.582342879877050984e-05
3.319535470642680064e+00 1.659767735321340115e-02 1.483297881235232747e-03 3.950109882686760830e-05
3.352897636176776608e+00 1.676448818088389914e-02 1.475642212424009905e-03 4.358275452765683638e-05
3.386595099856945623e+00 1.693297549928459919e-02 1.475023160792398062e-03 3.919469119607157427e-05
3.420631231513799442e+00 1.710315615756910143e-02 1.452511333957455953e-03 5.084723992380418839e-05
3.455009434845596417e+00 1.727504717422769995e-02 1.415334701121320803e-03 4.151788114977646442e-05
3.489733147758617093e+00 1.744866573879279986e-02 1.538671839601863647e-03 3.693935877272298992e-05
3.524805842710965642e+00 1.762402921355470109e-02 1.452586267266545118e-03 4.284578057217909840e-05
3.560231027059819198e+00 1.780115513529869839e-02 1.474413883498694499e-03 4.171736265115181191e-05
3.596012243412180176e+00 1.798006121706079846e-02 1.419493421446400101e-03 3.639205152259886351e-05
3.632153069979136006e+00 1.816076534989539970e-02 1.426213069763225972e-03 3.500320799885814447e-05
3.668657120933700000e+00 1.834328560466850014e-02 1.433459034901837272e-03 3.960440711792052079e-05
3.702685392277897058e+00 1.568498573952839883e-02 1.475908560261909950e-03 4.399583510993866837e-05
