wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.776523847321470839e+00 1.381355147921126125e-02 1.496650860625919031e-03 6.663413351450119849e-05 6.585706863142964419e-05
2.804289085794685388e+00 1.395168699400350931e-02 1.391484800248359889e-03 5.034482173570521517e-05 4.983755270858902450e-05
2.832331976652632477e+00 1.409120386394335789e-02 1.495258821291792998e-03 4.280016771531186363e-05 4.307270770387457148e-05
2.860655296419158500e+00 1.423211590258288695e-02 1.436753265000449351e-03 3.789334039324982611e-05 4.075110086701797495e-05
2.889261849383350178e+00 1.437443706160879131e-02 1.424346468267785170e-03 3.883390475602362633e-05 3.745455782072897727e-05
2.918154467877183578e+00 1.451818143222483037e-02 1.467557167609106258e-03 3.899530485638146027e-05 3.926823959840260517e-05
2.947336012555955342e+00 1.466336324654693435e-02 1.448910617455132464e-03 3.446160064914105536e-05 3.696776820723388264e-05
2.976809372681515242e+00 1.480999687901252138e-02 1.509049760329811201e-03 3.266775744047959069e-05 3.483074377714102249e-05
3.006577466408330235e+00 1.495809684780269322e-02 1.500097534068383634e-03 3.318397234739639025e-05 3.496926779248733276e-05
3.036643241072413346e+00 1.510767781628064022e-02 1.516560219618263592e-03 3.286539417900039874e-05 3.245191363298802201e-05
3.067009673483137355e+00 1.525875459444336890e-02 1.462796985868109302e-03 3.332174185110116718e-05 3.393706260271071862e-05
3.097679770217968809e+00 1.541134214038786254e-02 1.517912453345311545e-03 3.063856376138993434e-05 3.284082155793812546e-05
3.128656567920148568e+00 1.556545556179167455e-02 1.446284440362795428e-03 3.372803449850974786e-05 3.273501440522299036e-05
3.159943133599349530e+00 1.572111011740973119e-02 1.421336792456161062e-03 3.059342552834800125e-05 2.848374598271130424e-05
3.191542564935343052e+00 1.587832121858379075e-02 1.476015609640290082e-03 3.442731657350424183e-05 3.340069793234738509e-05
3.223457990584696731e+00 1.603710443076966641e-02 1.398916506299975517e-03 3.160859028655924226e-05 3.082318122323490436e-05
3.255692570490543503e+00 1.619747547507732754e-02 1.435686388606004183e-03 3.049648736140587145e-05 3.015074305485489735e-05
3.288249496195449151e+00 1.635945022982809860e-02 1.444310363481578685e-03 3.214550552106979972e-05 3.095372384214617467e-05
3.321131991157403540e+00 1.652304473212629077e-02 1.466347818723922431e-03 3.077168889358558937e-05 2.982499705133897019e-05
3.354343311068977762e+00 1.668827517944770911e-02 1.410067436832132624e-03 3.174322396668838656e-05 3.109708704518844395e-05
3.387886744179667176e+00 1.685515793124214845e-02 1.445552362796006466e-03 2.919250641540130017e-05 3.096019833600540359e-05
3.421765611621464309e+00 1.702370951055454107e-02 1.421541599407778094e-03 3.064844098463865261e-05 3.148046241516666739e-05
3.455983267737678943e+00 1.719394660566009314e-02 1.393842186042998452e-03 3.093496773978331345e-05 2.992158529793948266e-05
3.490543100415055555e+00 1.736588607171674070e-02 1.397633375442456543e-03 3.114110501523537772e-05 2.968219558012550469e-05
3.525448531419206333e+00 1.753954493243381485e-02 1.408261240584021516e-03 3.115498791436514814e-05 3.057751896331302628e-05
3.560703016733397952e+00 1.771494038175824848e-02 1.466404647084037539e-03 2.971160312174978176e-05 3.056112841465729278e-05
3.596310046900732083e+00 1.789208978557588203e-02 1.434658419036562290e-03 2.797922637965809950e-05 2.808165191613620423e-05
3.632273147369740052e+00 1.807101068343164307e-02 1.399363938674743225e-03 2.944077323121380152e-05 2.969294812124362477e-05
3.668595878843437408e+00 1.825172079026593508e-02 1.445340381715744336e-03 2.947050314845841776e-05 2.988062118375626672e-05
3.705281837631871689e+00 1.843423799816856778e-02 1.415577909334494100e-03 3.474568088529636674e-05 3.643254707949529145e-05
