wvl(micron) wvl_fullwidth(micron) depths depths_err_up depths_err_down
2.776523847321470839e+00 1.381355147921126125e-02 1.600013410495404118e-03 8.909989673110086869e-05 9.240537559763940985e-05
2.804289085794685388e+00 1.395168699400350931e-02 1.433326213186397529e-03 6.646252481501348404e-05 6.986904083189381977e-05
2.832331976652632477e+00 1.409120386394335789e-02 1.549319053526011488e-03 6.943880767298644258e-05 7.256819853858407880e-05
2.860655296419158500e+00 1.423211590258288695e-02 1.440997867500340077e-03 5.336699177347346314e-05 5.490321727953813812e-05
2.889261849383350178e+00 1.437443706160879131e-02 1.462605294025548118e-03 5.623804127858700666e-05 5.793912814667308460e-05
2.918154467877183578e+00 1.451818143222483037e-02 1.444158230446932227e-03 5.690345380220964387e-05 6.228577565057223132e-05
2.947336012555955342e+00 1.466336324654693435e-02 1.483165912558289615e-03 5.451039130782665484e-05 6.030816321927773976e-05
2.976809372681515242e+00 1.480999687901252138e-02 1.461316427549667592e-03 5.268316735713702952e-05 6.530263392298912666e-05
3.006577466408330235e+00 1.495809684780269322e-02 1.480872376530748035e-03 5.109985276379445419e-05 5.619929433259306974e-05
3.036643241072413346e+00 1.510767781628064022e-02 1.381803038781181849e-03 4.567646422032139129e-05 4.723249406551085876e-05
3.067009673483137355e+00 1.525875459444336890e-02 1.445565615001597175e-03 4.557328928147738600e-05 4.856566732552489683e-05
3.097679770217968809e+00 1.541134214038786254e-02 1.474793251664364979e-03 5.058460662745508513e-05 5.772798789867067577e-05
3.128656567920148568e+00 1.556545556179167455e-02 1.442041710125627381e-03 5.729872531729245273e-05 6.653632785985695401e-05
3.159943133599349530e+00 1.572111011740973119e-02 1.353608903792834911e-03 4.103687611459747378e-05 4.250314007786981825e-05
3.191542564935343052e+00 1.587832121858379075e-02 1.367898967722691898e-03 4.576614224487368481e-05 5.044006595161386504e-05
3.223457990584696731e+00 1.603710443076966641e-02 1.453383898016181314e-03 5.520867149413303393e-05 6.543813473184148001e-05
3.255692570490543503e+00 1.619747547507732754e-02 1.459124567018938541e-03 4.457102241036152088e-05 4.727394980471536640e-05
3.288249496195449151e+00 1.635945022982809860e-02 1.410456049079183245e-03 4.083706908282577937e-05 4.321226101908519010e-05
3.321131991157403540e+00 1.652304473212629077e-02 1.424847713446049120e-03 4.379989399518253480e-05 4.680181286530280677e-05
3.354343311068977762e+00 1.668827517944770911e-02 1.483578226532323652e-03 4.339397078298250741e-05 4.689160805639025487e-05
3.387886744179667176e+00 1.685515793124214845e-02 1.434878254481541417e-03 4.118018021139510480e-05 4.297050098767672167e-05
3.421765611621464309e+00 1.702370951055454107e-02 1.399192027578024123e-03 4.153333044982100014e-05 4.409308815964954262e-05
3.455983267737678943e+00 1.719394660566009314e-02 1.392279864453018455e-03 4.326251792178517803e-05 4.342788882625778224e-05
3.490543100415055555e+00 1.736588607171674070e-02 1.437376447231704987e-03 4.203862803176384826e-05 4.310664110625077317e-05
3.525448531419206333e+00 1.753954493243381485e-02 1.467116271225659850e-03 5.397015974064321188e-05 6.710874873394265250e-05
3.560703016733397952e+00 1.771494038175824848e-02 1.401988601646343051e-03 4.393790468436558488e-05 4.724225208747748553e-05
3.596310046900732083e+00 1.789208978557588203e-02 1.427856188648684698e-03 4.197122371378016192e-05 4.605223048127576012e-05
3.632273147369740052e+00 1.807101068343164307e-02 1.425709800908523794e-03 4.398661712937449418e-05 4.629793893508879835e-05
3.668595878843437408e+00 1.825172079026593508e-02 1.462957578850588095e-03 4.529881951284109136e-05 4.756523934441110775e-05
3.705281837631871689e+00 1.843423799816856778e-02 1.417500851427563793e-03 4.994284174739279346e-05 5.138256840217948068e-05
