iwave,wave,waveMin,waveMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink,instrname,reference,bandpass
0,2.9152541160583496,2.900673151016236,2.929835081100464,808.6993855398255,84.66175590577427,85.59698177030236,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
1,2.944442749023437,2.929835081100464,2.959050416946411,834.0291742575137,67.0734695512815,72.4020640439503,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
2,2.9739644527435303,2.959050416946411,2.9888784885406494,754.9765943256864,56.9124042061394,57.021055145181776,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
3,3.003789067268372,2.9888784885406494,3.0186996459960938,847.0594313528632,66.01878888885369,64.3494621432153,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
4,3.033636450767517,3.0186996459960938,3.0485732555389404,728.5727772403843,73.42025378428127,69.4140299010669,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
5,3.0638152360916138,3.0485732555389404,3.079057216644287,876.4027414717973,66.30116822017953,68.61311457422073,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
6,3.09463369846344,3.079057216644287,3.1102101802825928,782.1495404643963,52.74680398318901,52.19129691522232,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
7,3.125473737716675,3.1102101802825928,3.140737295150757,796.293532707174,62.20341961942495,63.59167243506226,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
8,3.156643509864807,3.140737295150757,3.1725497245788574,782.8203380302682,66.58046540837654,70.41777688205843,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
9,3.1884511709213257,3.1725497245788574,3.204352617263794,788.882697218894,70.33811115832339,67.44731804335413,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
10,3.220279335975647,3.204352617263794,3.2362060546875,903.540842011439,61.28819541853727,66.25275754207235,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
11,3.2524356842041016,3.2362060546875,3.268665313720703,862.9737821120553,56.2409325584631,59.22474386918498,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
12,3.284889578819275,3.268665313720703,3.3011138439178467,712.088360719969,58.15920494910915,59.14210709685358,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
13,3.3177006244659424,3.3011138439178467,3.334287405014038,892.7381760747758,74.16726063337626,75.30086389855114,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
14,3.350838184356689,3.334287405014038,3.367388963699341,831.3513942717915,56.439318829586455,60.36068050256449,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
15,3.384271264076233,3.367388963699341,3.401153564453125,878.1870042566726,64.0335797853877,64.13217922510694,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
16,3.41836678981781,3.401153564453125,3.435580015182495,851.1771642307019,58.874475254425306,61.32341648192448,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
17,3.4524487257003784,3.435580015182495,3.4693174362182617,788.2118409457577,61.70983491014624,64.11831463319379,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
18,3.486884474754333,3.4693174362182617,3.5044515132904053,861.2499107347119,56.60425689542467,58.08104069132844,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
19,3.521980881690979,3.5044515132904053,3.5395102500915527,832.6032895625616,52.31408949602621,51.27933185879954,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
20,3.5570321083068848,3.5395102500915527,3.574553966522217,747.1254892737566,63.04895836650337,62.75523127296015,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
21,3.592405080795288,3.574553966522217,3.61025619506836,844.5646353948532,52.630256841157575,57.91452819508481,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
22,3.628435969352722,3.61025619506836,3.646615743637085,854.4029720365384,56.00526225390627,58.97576524723877,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
23,3.6647876501083374,3.646615743637085,3.68295955657959,818.5785086304894,66.49169338087631,68.37515214721418,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
24,3.701459288597107,3.68295955657959,3.719959020614624,827.5065166316824,57.03500210497123,60.84774890674316,33.784909,30.788324,0,none,NIRSPEC_G395H_NRS1,ExoTEP,uniform
