iwave,wave,waveMin,waveMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink,instrname,reference,bandpass
0,0.6040642261505127,0.600984662771225,0.6071437895298004,409.0683014419746,207.72513204530512,485.24899054772254,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
1,0.6100308299064636,0.6071437895298004,0.6129178702831268,1353.6459380835897,536.5265791407978,600.1175839616386,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
2,0.6160271465778351,0.6129178702831268,0.6191364228725433,897.693886962405,451.0203010564069,536.0510562151658,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
3,0.622259795665741,0.6191364228725433,0.6253831684589386,840.905141065298,432.8317025770497,630.9018910853213,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
4,0.6285216510295868,0.6253831684589386,0.631660133600235,614.3590397442409,296.7595159739586,408.2786264107131,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
5,0.6348134577274323,0.631660133600235,0.6379667818546295,999.9800820930867,266.7282469699214,300.57504568861935,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
6,0.6411346793174744,0.6379667818546295,0.6443025767803192,569.7105082936534,202.21871220152437,250.37487274345176,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
7,0.64748415350914,0.6443025767803192,0.6506657302379608,923.0573626932046,227.08177989995352,237.36392193999654,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
8,0.65407395362854,0.6506657302379608,0.6574821770191193,892.5418688341191,217.5496344975588,216.36387095649908,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
9,0.6606915593147278,0.6574821770191193,0.6639009416103363,943.1858803478133,210.2488064027014,205.6885909908394,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
10,0.6671252846717834,0.6639009416103363,0.6703496277332306,1098.9463838202264,203.39594902508617,196.14313672235357,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
11,0.6738013327121735,0.6703496277332306,0.6772530376911163,431.9661165630793,154.33657815518842,202.23065656346245,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
12,0.6806123703718185,0.6772530376911163,0.6839717030525208,1049.2364635880622,200.44671156778594,203.69841525267168,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
13,0.6873442679643631,0.6839717030525208,0.6907168328762054,791.0446325152152,155.92839929965788,181.044437884472,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
14,0.6942126452922821,0.6907168328762054,0.6977084577083588,619.9410903753278,143.40831306195906,142.89558335083817,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
15,0.7012165784835815,0.6977084577083588,0.7047246992588043,675.00155602154,125.18583402647931,121.48378182376476,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
16,0.7082464396953583,0.7047246992588043,0.7117681801319122,690.6956976994566,136.56144038422212,141.85386741583517,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
17,0.715305507183075,0.7117681801319122,0.7188428342342377,654.7838301778118,150.63553091283643,144.75453983685094,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
18,0.722390741109848,0.7188428342342377,0.7259386479854584,499.23160032127225,121.58094282258568,125.43126703088184,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
19,0.7297232747077942,0.7259386479854584,0.73350790143013,839.779274236495,122.94133596849947,121.16093182277584,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
20,0.7370836138725281,0.73350790143013,0.7406593263149261,930.6274934247157,113.01752392345549,102.92548027850557,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
21,0.7443586140871048,0.7406593263149261,0.7480579018592834,935.298987726484,99.53985355039208,99.90135039593642,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
22,0.7517691999673843,0.7480579018592834,0.7554804980754852,877.578445388963,106.60746201907993,107.46288980354774,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
23,0.7593177556991577,0.7554804980754852,0.7631550133228302,796.1737994336669,120.54054968893408,115.2566347695126,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
24,0.7670071125030518,0.7631550133228302,0.7708592116832733,865.2025782231387,114.29828849284414,120.14522467501497,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
25,0.7747203409671783,0.7708592116832733,0.7785814702510834,1012.0768015426231,129.9642236753187,138.97343557507398,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
26,0.782457023859024,0.7785814702510834,0.7863325774669647,852.9911146372591,118.69298179390292,116.17747873775912,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
27,0.7902179956436157,0.7863325774669647,0.7941034138202667,776.0355287086825,109.5203457581246,115.9147218925424,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
28,0.798000693321228,0.7941034138202667,0.8018979728221893,852.6921693025297,118.45180433101025,122.76376807029396,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
29,0.8060395419597626,0.8018979728221893,0.8101811110973358,800.371128904419,119.05928525683876,131.20376488092973,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
30,0.8141010403633118,0.8101811110973358,0.8180209696292877,794.7727950306939,134.32277303976716,119.18403808892869,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
31,0.8221816122531891,0.8180209696292877,0.8263422548770905,909.4895529000546,128.73403100337762,123.59510415580993,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
32,0.8305155634880066,0.8263422548770905,0.8346888720989227,863.998060505889,121.60228154281697,130.92803526161913,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
33,0.8388751149177551,0.8346888720989227,0.8430613577365875,780.1125714289938,132.6478681072602,128.11661970183383,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
34,0.8472539186477661,0.8430613577365875,0.8514464795589447,908.1708105825996,136.93224638828673,139.92946437798432,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
35,0.8546795547008514,0.8502560555934906,0.8591030538082123,963.9468298204897,134.0220064831609,134.86911974814035,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
36,0.8630944788455963,0.8591030538082123,0.8670859038829803,646.0743972654078,144.9587452080844,146.31416376952583,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
37,0.8715322017669678,0.8670859038829803,0.8759784996509552,554.6994656580525,102.55242612469765,93.28483085496104,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
38,0.8804359436035156,0.8759784996509552,0.884893387556076,700.7534310271046,83.9198600439497,86.8613254901393,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
39,0.8893626034259796,0.884893387556076,0.8938318192958832,769.5340670788228,78.51954437087755,83.03224763047776,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
40,0.8983115553855896,0.8938318192958832,0.902791291475296,955.8892587139105,78.59839720367594,78.90305956291205,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
41,0.9072832763195038,0.902791291475296,0.9117752611637115,832.147459212255,77.26749027082852,79.04037345535187,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
42,0.9162766635417938,0.9117752611637115,0.920778065919876,880.6397444234184,73.11043417611208,70.42816071052265,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
43,0.9252890348434448,0.920778065919876,0.9298000037670135,840.1569715949271,73.94033774547994,76.14615101949198,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
44,0.934322714805603,0.9298000037670135,0.9388454258441924,791.3944944936909,67.4483682751873,72.42485958630222,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
45,0.9438341557979584,0.9388454258441924,0.9488228857517242,952.7195371150178,68.18997900677513,64.54163606116812,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
46,0.9533646404743196,0.9488228857517242,0.9579063951969148,767.0636156553896,75.50263329143056,68.4157974339252,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
47,0.962917059659958,0.9579063951969148,0.9679277241230012,838.8088016206949,58.425933517821626,63.74354579938197,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
48,0.9724915623664856,0.9679277241230012,0.97705540060997,757.5139034939282,64.00275902538506,66.59038790574475,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
49,0.98208886384964,0.97705540060997,0.9871223270893096,735.0345570545257,60.41324478534896,61.7991263189573,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
50,0.9921653270721436,0.9871223270893096,0.9972083270549774,737.3926188536511,57.19157808568747,58.41410755012611,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
51,1.0022599548101423,0.9972083270549774,1.0073115825653076,804.7726935461014,54.93416985977847,58.22390127649461,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
