Central wavelength [microns], Half-width of the wavelength bin [microns], (R_p/R_s)^2 [ppm], 1 sigma upper error bar on (R_p/R_s)^2 [ppm], 1 sigma lower error bar on (R_p/R_s)^2 [ppm]
2.87250000, 0.00850000, 3399.10847397, 66.16573520, 66.54582295
2.88950000, 0.00850000, 3491.20321475, 65.58546767, 65.66802487
2.90650000, 0.00850000, 3555.86542751, 66.65170251, 66.98346849
2.92350000, 0.00850000, 3508.11977650, 63.39402330, 64.07369898
2.94100000, 0.00900000, 3529.91127351, 60.49674032, 60.48867643
2.95850000, 0.00850000, 3581.74571659, 62.17754190, 62.94520455
2.97550000, 0.00850000, 3477.67377739, 60.32811829, 60.55942912
2.99250000, 0.00850000, 3502.43153844, 59.40247383, 60.55881574
3.00950000, 0.00850000, 3630.39281892, 59.35418454, 59.34292923
3.02650000, 0.00850000, 3458.49748447, 60.03684479, 60.40577665
3.04350000, 0.00850000, 3572.83215012, 57.75624928, 57.85678558
3.06050000, 0.00850000, 3475.96742354, 58.86388723, 59.22509328
3.07750000, 0.00850000, 3538.09856261, 57.54601663, 58.64057621
3.09450000, 0.00850000, 3493.76755323, 58.02406801, 57.37432844
3.11150000, 0.00850000, 3464.78648162, 58.30254023, 59.11492834
3.12850000, 0.00850000, 3490.03787020, 56.62889448, 57.10519143
3.14550000, 0.00850000, 3538.92671940, 56.09767804, 55.92155269
3.16250000, 0.00850000, 3473.96790653, 56.83801847, 56.67282731
3.17950000, 0.00850000, 3647.78198556, 57.84558250, 57.31622988
3.19650000, 0.00850000, 3572.74376331, 56.48049975, 57.88733607
3.21350000, 0.00850000, 3551.51061349, 56.45512474, 56.76350316
3.23050000, 0.00850000, 3553.29573711, 58.16309683, 58.31404722
3.24800000, 0.00900000, 3453.75231363, 57.52017804, 57.89382997
3.26550000, 0.00850000, 3576.25276532, 54.31143389, 54.87343913
3.28250000, 0.00850000, 3534.79940915, 56.01271671, 56.74981697
3.29950000, 0.00850000, 3600.58869347, 55.73662282, 56.86353975
3.31650000, 0.00850000, 3562.95957556, 56.07823379, 56.11388988
3.33350000, 0.00850000, 3484.17851504, 56.86122889, 57.79523530 
3.35050000, 0.00850000, 3519.25149131, 57.12701937, 57.31822458
3.36750000, 0.00850000, 3529.26362647, 55.72245619, 55.98781298
3.38450000, 0.00850000, 3437.98019506, 55.19454428, 56.22426697
3.40150000, 0.00850000, 3500.69647563, 57.75541652, 57.95475320 
3.41850000, 0.00850000, 3554.29694422, 56.30158975, 57.14461191
3.43550000, 0.00850000, 3396.15856152, 55.33760559, 56.26784115
3.45250000, 0.00850000, 3493.97479312, 57.25648699, 58.02333879
3.46950000, 0.00850000, 3462.54346430, 55.14104811, 56.70535367
3.48650000, 0.00850000, 3489.44555473, 60.21589922, 60.31597174
3.50350000, 0.00850000, 3490.08591940, 57.84296752, 58.28559441
3.52050000, 0.00850000, 3527.94489499, 56.53291733, 56.42778981
3.53750000, 0.00850000, 3518.63698347, 57.09068210, 58.69311516
3.55450000, 0.00850000, 3513.53159696, 57.35402596, 57.97836939
3.57200000, 0.00900000, 3587.35001565, 55.06340604, 56.41197365
3.58950000, 0.00850000, 3494.37412874, 56.86698961, 57.85372184
3.60650000, 0.00850000, 3505.59245078, 59.33541510, 60.08054938
3.62350000, 0.00850000, 3547.49438577, 57.54112858, 57.99141832
3.64050000, 0.00850000, 3503.64171621, 57.39680159, 56.67676534
3.65750000, 0.00850000, 3463.79740077, 59.03695363, 59.46321965
3.67450000, 0.00850000, 3504.76718970, 60.06785364, 61.20480874
3.69150000, 0.00850000, 3480.10134403, 59.95357627, 59.61783749
3.70850000, 0.00850000, 3543.08166741, 58.97757489, 59.77668181
