Central wavelength [microns], Half-width of the wavelength bin [microns], (R_p/R_s)^2 [ppm], 1 sigma upper error bar on (R_p/R_s)^2 [ppm], 1 sigma lower error bar on (R_p/R_s)^2 [ppm] 
3.83650000, 0.01350000, 3457.38276411, 49.16938137, 49.76556513 
3.86350000, 0.01350000, 3436.47188683, 49.41511145, 50.48096511 
3.89050000, 0.01350000, 3409.72432859, 49.47907310, 50.00224123 
3.91750000, 0.01350000, 3461.38225159, 52.24390142, 52.50654244 
3.94450000, 0.01350000, 3520.52494485, 52.56644424, 53.27289779 
3.97150000, 0.01350000, 3428.65659587, 53.99358386, 54.77920247 
3.99850000, 0.01350000, 3500.58968268, 54.71297807, 54.81509435 
4.02550000, 0.01350000, 3494.90562149, 53.93838708, 55.38421570 
4.05250000, 0.01350000, 3558.89550343, 56.19937294, 55.98418275 
4.07950000, 0.01350000, 3424.75369411, 55.69108543, 55.61982553 
4.10650000, 0.01350000, 3411.26320678, 57.63864633, 58.16870985 
4.13400000, 0.01400000, 3474.49740102, 57.83561615, 57.67046444 
4.16150000, 0.01350000, 3503.13030022, 59.73407870, 61.07056324 
4.18850000, 0.01350000, 3492.30555971, 59.54082649, 60.47498707 
4.21550000, 0.01350000, 3494.41672884, 60.65818202, 61.60573194 
4.24250000, 0.01350000, 3410.59606858, 61.41592109, 62.02783046 
4.26950000, 0.01350000, 3570.73167894, 63.05464268, 64.13069416 
4.29650000, 0.01350000, 3329.17241821, 68.46005408, 69.37906636 
4.32350000, 0.01350000, 3533.71329265, 67.92367845, 68.41048904 
4.35050000, 0.01350000, 3485.04240186, 68.76821535, 69.72981559 
4.37750000, 0.01350000, 3637.07905630, 70.59605860, 71.77696142 
4.40450000, 0.01350000, 3436.86828097, 73.84735748, 74.47401841 
4.43150000, 0.01350000, 3333.35535292, 71.94991666, 73.41997018 
4.45850000, 0.01350000, 3494.34748426, 76.74673956, 77.80729816 
4.48550000, 0.01350000, 3493.51500655, 75.67061968, 76.05614888 
4.51250000, 0.01350000, 3442.21942841, 76.03479692, 76.51720002 
4.53950000, 0.01350000, 3519.97073760, 77.42789555, 79.07013449 
4.56650000, 0.01350000, 3501.24927601, 83.08367242, 81.84326823 
4.59350000, 0.01350000, 3291.63250352, 82.88641111, 82.64653674 
4.62050000, 0.01350000, 3484.36510471, 80.71219722, 82.38153133 
4.64750000, 0.01350000, 3574.38161844, 84.96732713, 85.14904550 
4.67450000, 0.01350000, 3529.23018066, 85.46709446, 85.62969462 
4.70150000, 0.01350000, 3443.66244525, 86.99925124, 87.09191530 
4.72850000, 0.01350000, 3477.84810259, 86.24854382, 86.10502186 
4.75550000, 0.01350000, 3529.45929528, 86.64202369, 87.61453891 
4.78250000, 0.01350000, 3372.14762929, 89.93123727, 92.43411701 
4.80950000, 0.01350000, 3460.95997136, 92.92822395, 93.20119971 
4.83650000, 0.01350000, 3539.22593073, 89.45583695, 91.45191249 
4.86350000, 0.01350000, 3368.98658951, 92.53528134, 93.54727533 
4.89050000, 0.01350000, 3465.79266386, 96.89066149, 98.89349789 
4.91750000, 0.01350000, 3341.59515014, 96.88369346, 96.66465838 
4.94450000, 0.01350000, 3458.49168030, 101.58781720, 100.13611432 
4.97150000, 0.01350000, 3423.84018677, 100.62292191, 102.17027550 
4.99850000, 0.01350000, 3409.27882689, 103.60853204, 105.24723585 
5.02550000, 0.01350000, 3295.51199405, 104.23997363, 103.65249566 
5.05250000, 0.01350000, 3375.39033854, 104.61168487, 105.63665309 
5.07950000, 0.01350000, 3341.88761461, 107.08392788, 108.52563978 
5.10650000, 0.01350000, 3371.37608237, 102.55650856, 103.06242874 
5.13350000, 0.01350000, 3476.57873371, 113.64342546, 117.06855155 
5.16050000, 0.01350000, 3431.44925274, 132.11022788, 135.26274180 
