instrname,reference,bandpass,iwave,wave,waveMin,waveMax,xMin,xMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink
NIRSPEC_G395H_NRS1,ExoTEP,uniform,0,2.871384620666504,2.8629034,2.879866,0,0,3441.1788,64.1947,64.1947,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,1,2.888375759124756,2.879866,2.8968859,0,0,3492.7239,62.1811,62.1811,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,2,2.905365228652954,2.8968859,2.9138446,0,0,3539.621,60.8814,60.8814,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,3,2.922661781311035,2.9138446,2.9314792,0,0,3538.3862,60.9273,60.9273,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,4,2.9399566650390625,2.9314792,2.9484339,0,0,3529.1424,55.5373,55.5373,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,5,2.956939697265625,2.9484339,2.9654453,0,0,3592.2321,55.1374,55.1374,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,6,2.9739201068878174,2.9654453,2.982395,0,0,3531.0052,54.1926,54.1926,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,7,2.99086856842041,2.982395,2.9993422,0,0,3477.953,57.5894,57.5894,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,8,3.0081536769866943,2.9993422,3.0169652,0,0,3634.7555,53.6957,53.6957,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,9,3.0254366397857666,3.0169652,3.0339081,0,0,3462.7255,56.8354,56.8354,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,10,3.0424082279205322,3.0339081,3.0509083,0,0,3631.8784,54.8666,54.8666,0.0,0.0,0,none
